"Full Name of the Session Holder of the Session","Day of Week","Session's Session Start","Session's Session End","Appointment Date","Appointment Time","Slot Type","Slot Duration","Availability","DNA","Booked Time to Slot Time","Arrive Time to Send In Time","Slot Time to Send In Time","Slot Time to Arrive Time","Consultation Time","",
"","","","","","16:45","ECG","30","Booked","Did Not Attend","4680","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:15","Admin","30","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:45","catch up time","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","29-Sep-2025","29-Sep-2025","29-Sep-2025","08:00","Admin","45","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:45","Blood Clinic","15","Booked","Attended","3936","0","-7","-7","7","1",
"","","","","","09:00","DO NOT BOOK","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:15","Blood Clinic","15","Booked","Attended","3958","6","-10","-16","14","1",
"","","","","","09:30","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:45","Blood Clinic","15","Booked","Attended","5749","15","1","-13","10","1",
"","","","","","10:00","Spirometry and FeNO","60","Booked","Attended","18357","20","3","-17","21","1",
"","","","","","11:00","B12","60","Booked","Attended","9917","1","-21","-23","1","1",
"","","","","","","Comment","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:00","Lunch Break","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Comment","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Spirometry and FeNO","60","Booked","Did Not Attend","9932","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Admin","60","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","Admin","60","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:15","Spirometry and FeNO","60","Booked","Attended","10263","2","-9","-11","8","1",
"","","","","","17:15","Admin","45","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","06-Oct-2025","06-Oct-2025","06-Oct-2025","08:00","Blood Clinic","15","Booked","Attended","20040","0","5","5","16","1",
"","","","","","08:15","Blood Clinic","15","Booked","Attended","15423","14","7","-7","9","1",
"","","","","","08:30","Blood Clinic","15","Booked","Attended","25412","18","14","-4","6","1",
"","","","","","08:45","Blood Clinic","15","Booked","Did Not Attend","26934","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:00","ECG","15","Booked","Attended","25441","26","-8","-34","4","1",
"","","","","","09:15","ECG","15","Booked","Attended","25456","30","-19","-49","9","1",
"","","","","","09:30","Prebookable","15","Booked","Attended","25470","30","-34","-64","9","1",
"","","","","","09:45","Blood Clinic","15","Booked","Did Not Attend","28812","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Comment","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:00","HYPERTEN ANNUAL REVIEW","30","Booked","Attended","55826","7","-3","-10","12","1",
"","","","","","10:30","Coffee Break","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:45","B12","15","Booked","Attended","28584","7","4","-2","3","1",
"","","","","","11:00","B12","15","Booked","Attended","28599","21","4","-17","0","1",
"","","","","","11:15","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:30","Admin","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:45","catch up time","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Flu Clinic","2","Booked","Attended","56002","10","4","-6","4","1",
"","","","","","13:02","Flu Clinic","2","Booked","Attended","50203","4","4","0","2","1",
"","","","","","13:04","Flu Clinic","2","Booked","Attended","50205","7","4","-2","0","1",
"","","","","","13:06","Flu Clinic","2","Booked","Attended","4371","28","6","-22","1","1",
"","","","","","13:08","Flu Clinic","2","Booked","Attended","44573","26","6","-20","2","1",
"","","","","","13:10","Flu Clinic","2","Booked","Attended","38639","19","7","-11","0","1",
"","","","","","13:12","Flu Clinic","2","Booked","Attended","38639","20","6","-13","0","1",
"","","","","","13:14","Flu Clinic","2","Booked","Attended","17350","0","113","-18","0","1",
"","","","","","","","","","","","","","13","0","1",
"","","","","","","","","","","","","","17","0","1",
"","","","","","","","","","","","","","113","0","1",
"","","","","","13:16","Flu Clinic","2","Booked","Attended","186","12","7","-5","0","1",
"","","","","","13:18","Flu Clinic","2","Booked","Did Not Attend","14480","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:20","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:22","Flu Clinic","2","Booked","Attended","47618","7","-1","-9","0","1",
"","","","","","13:24","Flu Clinic","2","Booked","Attended","8862","48","-6","-55","0","1",
"","","","","","13:26","Flu Clinic","2","Booked","Attended","8813","0","-15","-15","0","1",
"","","","","","13:28","Flu Clinic","2","Booked","Attended","8814","0","-16","-16","0","1",
"","","","","","13:30","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:32","Flu Clinic","2","Booked","Attended","4519","0","-10","-11","0","1",
"","","","","","13:34","Flu Clinic","2","Booked","Attended","7175","0","-3","-3","0","1",
"","","","","","13:36","Flu Clinic","2","Booked","Did Not Attend","7128","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:38","Flu Clinic","2","Booked","Attended","4266","0","-12","-12","0","1",
"","","","","","13:40","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:42","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:44","Flu Clinic","2","Booked","Did Not Attend","55289","Unknown","-16","-16","Unknown","1",
"","","","","","","","","","","","","","-11","Unknown","1",
"","","","","","13:46","Flu Clinic","2","Booked","Attended","10333","0","-4","-5","0","1",
"","","","","","13:48","Flu Clinic","2","Booked","Attended","45042","0","-13","-13","0","1",
"","","","","","13:50","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:52","Flu Clinic","2","Booked","Attended","9942","28","18","-10","0","1",
"","","","","","13:54","Flu Clinic","2","Booked","Attended","55644","0","-17","-17","0","1",
"","","","","","13:56","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:58","Flu Clinic","2","Booked","Attended","122","0","10","10","3","1",
"","","","","","14:00","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:02","Flu Clinic","2","Booked","Attended","40690","0","5","5","0","1",
"","","","","","14:04","Flu Clinic","2","Booked","Attended","7366","0","2","2","0","1",
"","","","","","14:06","Flu Clinic","2","Booked","Attended","4487","0","-3","-3","0","1",
"","","","","","14:08","Flu Clinic","2","Booked","Attended","4489","0","-8","-8","3","1",
"","","","","","14:10","Flu Clinic","10","Booked","Did Not Attend","20195","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:20","Coffee Break","10","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:30","Flu Clinic","2","Booked","Attended","49408","2","-10","-12","2","1",
"","","","","","14:32","Comment","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Vaccine Clinic","2","Booked","Attended","4298","0","3","2","1","1",
"","","","","","14:34","Flu Clinic","8","Booked","Attended","205","0","-4","-4","0","1",
"","","","","","14:42","Flu Clinic","2","Booked","Attended","10425","0","-29","-30","1","1",
"","","","","","14:44","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:46","Flu Clinic","4","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:50","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:52","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:54","Flu Clinic","2","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:56","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:58","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","Flu Clinic","2","Booked","Did Not Attend","17322","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:02","Flu Clinic","2","Booked","Attended","10406","3","1","-2","2","1",
"","","","","","15:04","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:06","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:08","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:10","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:12","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:14","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:16","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:18","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:20","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:22","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:24","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:26","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:28","Flu Clinic","2","Booked","Attended","44631","15","8","-17","0","1",
"","","","","","","","","","","","","","-6","0","1",
"","","","","","15:30","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:32","Flu Clinic","2","Booked","Attended","44633","4","-16","-21","5","1",
"","","","","","15:34","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:36","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:38","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:40","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:42","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:44","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:46","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:48","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:50","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:52","Coffee Break","14","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:06","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:08","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:10","Flu Clinic","10","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:20","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:22","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:24","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:26","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:28","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:30","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:32","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:34","Flu Clinic","2","Booked","Attended","40842","3","5","2","2","1",
"","","","","","16:36","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:38","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:40","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:42","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:44","Flu Clinic","2","Booked","Attended","9082","0","3","3","1","1",
"","","","","","16:46","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:48","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:50","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:52","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:54","Flu Clinic","2","Booked","Attended","8701","5","-4","-9","1","1",
"","","","","","16:56","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:58","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:00","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:02","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:04","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:06","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:08","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:10","Flu Clinic","2","Booked","Attended","10563","1","-7","-9","2","1",
"","","","","","17:12","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:14","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:16","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:18","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:20","catch up time","2","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:22","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:24","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:26","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:28","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:30","Flu Clinic","2","Booked","Attended","4460","0","-8","-9","1","1",
"","","","","","17:32","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:34","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:36","Flu Clinic","2","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:38","Flu Clinic","2","Booked","Attended","389","0","5","4","3","1",
"","","","","","17:40","catch up time","20","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","13-Oct-2025","13-Oct-2025","13-Oct-2025","08:00","Blood Pressure due","15","Booked","2","8479","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Comment","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","2",
"","","","","","08:15","Comment","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","F2F  Double appt","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:30","Blood Clinic","15","Booked","2","8100","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:45","Blood Clinic","15","Booked","2","8466","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:00","B12","15","Booked","2","27013","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:15","Blood Clinic","15","Booked","2","20124","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","Flu Clinic","15","Booked","2","10089","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:45","Blood Clinic","15","Booked","2","18737","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:00","Vaccine Clinic","15","Booked","2","9972","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:15","Blood Clinic","15","Booked","2","8610","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:30","Coffee Break","15","Blocked","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:45","HYPERTEN ANNUAL REVIEW","45","Booked","2","8707","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:30","Blood Pressure due","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:45","catch up time","15","Blocked","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","NHS Health Check","30","Booked","2","14466","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:30","B12","15","Booked","2","27233","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:45","Comment","8","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Vaccine Clinic","8","Booked","2","14526","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:53","Vaccine Clinic","7","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Vaccine Clinic","8","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:08","Vaccine Clinic","7","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:15","Prebookable","15","Booked","2","8990","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:30","Prebookable","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","Prebookable","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","Prebookable","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","Prebookable","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:30","Prebookable","15","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:45","Coffee Break","15","Blocked","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:00","B12","15","Booked","2","17093","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:15","HYPERTEN ANNUAL REVIEW","30","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:45","ECG","30","Booked","2","8625","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:15","HYPERTEN ANNUAL REVIEW","30","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:45","catch up time","15","Blocked","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","20-Oct-2025","20-Oct-2025","20-Oct-2025","08:00","Admin","45","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:45","Spirometry and FeNO","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:45","Coffee Break","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:00","Spirometry and FeNO","60","Booked","2","25599","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:00","Spirometry and FeNO","60","Booked","2","26046","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:00","Lunch Break","60","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Spirometry and FeNO","60","Booked","2","18670","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Spirometry and FeNO","60","Booked","2","18625","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","Coffee Break","15","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","Spirometry and FeNO","60","Available","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","16:15","Spirometry and FeNO","60","Booked","2","34821","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","17:15","Admin","45","Other Unavailable","2","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","Tue","09-Sep-2025","09-Sep-2025","09-Sep-2025","08:00","Blood Clinic","10","Booked","Attended","11224","0","6","6","5","1",
"","","","","","","Comment","10","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:10","Blood Clinic","10","Booked","Attended","11338","5","2","-2","4","1",
"","","","","","08:20","Blood Clinic","10","Booked","Attended","11389","3","-1","-5","7","1",
"","","","","","08:30","Blood Clinic","10","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:40","Blood Clinic","10","Booked","Attended","11426","2","-5","-7","17","1",
"","","","","","08:50","Blood Clinic","10","Booked","Attended","11475","3","5","2","8","1",
"","","","","","09:00","Blood Clinic","10","Booked","Attended","11534","12","4","-8","7","1",
"","","","","","09:10","Blood Clinic","10","Booked","Attended","11563","10","2","-7","5","1",
"","","","","","09:20","B12","10","Booked","Did Not Attend","18777","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:30","Blood Clinic","10","Booked","Attended","19825","3","-1","-4","6","1",
"","","","","","09:40","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:55","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:10","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:25","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:40","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:55","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:10","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:25","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","11:40","Baby Imms","20","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Meeting","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Baby Imms","30","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:30","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","Coffee Break","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:00","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:30","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:45","catch up time","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","16-Sep-2025","16-Sep-2025","16-Sep-2025","08:00","Blood Clinic","10","Available","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","","Comment","10","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:10","Blood Clinic","10","Booked","Attended","18231","0","-7","-7","12","1",
"","","","","","08:20","Blood Clinic","10","Booked","Attended","17273","0","0","0","3","1",
"","","","","","08:30","Blood Clinic","10","Booked","Attended","1007","4","-5","-10","13","1",
"","","","","","08:40","Blood Clinic","10","Booked","Attended","18279","1","20","-8","3","1",
"","","","","","","","","","","","","","1","3","1",
"","","","","","","","","","","","","","18","3","1",
"","","","","","","Comment","10","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:50","Blood Clinic","10","Booked","Attended","19653","0","2","2","4","1",
"","","","","","09:00","Blood Clinic","10","Booked","Attended","27251","9","4","-4","5","1",
"","","","","","09:10","Blood Clinic","10","Booked","Attended","19689","10","0","-10","4","1",
"","","","","","09:20","Blood Clinic","5","Booked","Attended","21193","9","-1","-10","8","1",
"","","","","","09:25","Blood Clinic","5","Booked","Attended","0","2","1","0","11","1",
"","","","","","09:30","Blood Clinic","10","Booked","Attended","21342","10","3","-6","4","1",
"","","","","","09:40","Coffee Break","15","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","09:55","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:10","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:25","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:40","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","10:55","Lunch Break","65","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","12:00","CPD or Training","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","13:00","Meeting","60","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:00","Baby Imms","30","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:30","Coffee Break","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","14:45","Baby Imms","30","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:15","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:30","Baby Imms","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","15:45","catch up time","15","Blocked","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","23-Sep-2025","23-Sep-2025","23-Sep-2025","08:00","Blood Clinic","10","Booked","Attended","17095","0","2","2","7","1",
"","","","","","","Comment","10","Other Unavailable","Attended","Unknown","Unknown","Unknown","Unknown","Unknown","1",
"","","","","","08:10","B12","20","Booked","Attended","7089","2","0","-2","20","1",
